1,0.264064,0.437679,35.475780 # John William Vessey, Jr.:major general->Major general (United States)
-1,0.961492,0.289410,63.002942 # Michael Scott (The Office):murder->Murder
1,0.579125,0.431631,16.211204 # Tadoussac, Quebec:mohawk->Mohawk nation
-1,0.007220,0.024998,28.219481 # Metro Junior A Hockey League:north york->North York Astros
1,0.994444,0.311792,66.494415 # Rajput clans:gujjar->Gujjar
-1,0.001135,0.104011,14.418376 # Delta smelt:federal->Progressive Conservative Party of Canada
-1,0.009274,0.031733,48.531335 # Bellarmine University:secretary of state->North Dakota Secretary of State
-1,0.003483,0.251952,24.444216 # Uraninite:connecticut->Connecticut Colony
1,0.959147,0.470298,88.388349 # List of King of the Hill characters:pharmacist->Pharmacist
1,0.881890,0.495682,12.119142 # Oxford Martyrs:heresy->Heresy
-1,0.001614,0.034318,49.341946 # Pacific Crest Trail:oregon->2008 Oregon Ducks football team
1,0.636998,0.322963,6.426822 # Koumi Line:gauge->Rail gauge
-1,0.112683,0.105136,11.303050 # Bobbili:municipality->Municipalities of Germany
1,0.822774,0.604178,17.423336 # Brandon Boyd:rock->Rock music
1,0.962629,0.639955,13.821063 # 28th Division (United Kingdom):india->India
-1,0.001644,0.034555,41.558695 # Containerization:houston->Houston Symphony
-1,0.001039,0.000000,557.513988 # List of Italians:sculpture->Outline of sculpture
-1,0.001479,0.014381,60.902858 # Martha Plimpton:robert->Robert the Strong
-1,0.001715,0.367976,16.961724 # Philip Van Zandt:broadway->Musical theatre
-1,0.016949,0.000000,12.797028 # Oracle machine:complete->Completeness (statistics)
-1,0.013033,0.090662,19.913152 # Reginald Denny incident:hit->Hit by pitch
-1,0.965059,0.408854,32.611600 # North Shore City:pacific islander->Race and ethnicity in the United States Census
-1,0.002899,0.000000,37.324858 # Bankura district:sal->Santangelo family
-1,0.001490,0.092118,22.222311 # Michigan Radio:cbc->CBC Records
1,0.947751,0.748723,51.182920 # Hexham:france->France
-1,0.002061,0.138423,13.479171 # Jim Durham:chicago white sox->2005 Chicago White Sox season
1,0.968116,0.478873,17.084494 # Fishermen's Protective Union:receivership->Receivership
1,0.083779,0.445887,25.581069 # Hustler:hardcore->Hardcore pornography
1,0.917165,0.485686,16.607677 # Peacocks (clothing):malta->Malta
-1,0.041063,0.093764,9.871980 # Aqua vitae:ethanol->Ethanol fuel
-1,0.007545,0.270315,73.364840 # Earthquake:disease->Infectious disease
1,0.686891,0.389961,3.388089 # 1923 Constitution of Egypt:executive->Executive (government)
1,0.989740,0.640080,68.427633 # Blood libel:roman catholic church->Catholic Church
1,0.627820,0.463380,12.099876 # Richard Crashaw:charterhouse->Charterhouse School
-1,0.011243,0.000000,10.011854 # Bais City:province->Provinces of Panama
1,0.847156,0.409215,20.504752 # Kelowna Flightcraft Air Charter:regina->Regina, Saskatchewan
1,0.975000,0.345889,14.790010 # Alfa Romeo 8C Competizione:compression ratio->Compression ratio
1,0.868406,0.484376,32.150091 # Honours of Scotland:charles ii->Charles II of England
-1,0.004762,0.009497,176.845547 # John McCain:junta->Government Junta of Chile (1810)
-1,0.001013,0.018361,98.467833 # Frome:town->List of towns in Portugal
1,0.994238,0.506572,35.304597 # Kohl Center:bob dylan->Bob Dylan
-1,0.017284,0.036865,23.674394 # Fancy rat:developed->Land development
-1,0.001866,0.138116,37.643613 # Kevin Myers:rt->Offensive tackle
-1,0.004327,0.098224,29.226609 # Elections in Canada:referendum->Northern England devolution referendums, 2004
1,0.012658,0.364731,133.426167 # East Germany:luftstreitkr fte->Luftstreitkräfte der NVA
-1,0.011554,0.209178,29.467777 # Charles Ponzi:governor->Governor of Indiana
1,0.951477,0.632432,44.500005 # 2008 Summer Olympics closing ceremony:kenya->Kenya
1,0.996870,0.449000,27.266158 # Wii Music:gamespy->GameSpy
-1,0.006090,0.150353,33.247635 # Will Lang, Jr.:berlin->Berlin, New Hampshire
-1,0.001119,0.147665,34.706789 # Johann Wilhelm Meigen:hamburg->Hamburg Airport
-1,0.003545,0.196297,32.884196 # CoDominium:republic->Republics of the Soviet Union
-1,0.002625,0.224802,62.159035 # Donnchadh, Earl of Carrick:magnate->Nobility
-1,0.001197,0.296105,139.410184 # Regional sports network:buffalo->Ralph Wilson Stadium
-1,0.035088,0.178310,8.894684 # Burley Griffin Way:trucks->Pickup truck
-1,0.003435,0.279677,79.473111 # Leatherback turtle:french->French cuisine
-1,0.001825,0.187212,68.634336 # Cactus Air Force:campaign->Pancho Villa Expedition
-1,0.120820,0.368412,40.406482 # Pete Best:rhythm->Rhythm guitar
1,0.962791,0.446946,107.543017 # Chicago Bears:arizona cardinals->Arizona Cardinals
1,0.516795,0.466598,10.712965 # Harwich International railway station:cambridge->Cambridge
1,0.813333,0.356996,16.339928 # James Orange:andrew young->Andrew Young
1,0.994860,0.517785,14.899255 # Lyndhurst (mansion):gothic revival->Gothic Revival architecture
1,0.837022,0.293447,23.049853 # Cyril Knowles:fourth division->Football League Fourth Division
-1,0.007923,0.011945,11.573539 # William Fox-Pitt:equestrian->Equestrian at the 1928 Summer Olympics
-1,0.002575,0.213085,4.854377 # San Juan Unified School District:sacramento->Sacramento metropolitan area
-1,0.055016,0.255169,9.480800 # Until You Come Back to Me (That's What I'm Gonna Do):superstar->Superstar (Jesus Christ Superstar song)
1,0.997585,0.366335,10.338552 # Tirrel Burton:mid american conference->Mid-American Conference
1,0.969687,0.574006,22.017035 # Thomas C. Durant:cotton->Cotton
