1,0.851648,0.359613,0.961027,1.000000,0.000098 # ARPANET -> ARPANET
1,0.377437,0.050633,0.967254,2.000000,0.000197 # western hemisphere -> Western hemisphere
1,1.098425,0.502538,0.958855,1.000000,0.000098 # Gerald Ford -> Gerald Ford
1,0.095355,0.387194,0.959284,1.000000,0.000098 # materiel -> Materiel
1,0.253404,0.209402,0.975872,9.000000,0.000886 # British -> Great Britain
1,0.651595,0.236866,0.967603,1.000000,0.000098 # Australia -> United States-Australia relations
1,0.141509,0.393000,0.968198,1.000000,0.000098 # hamburgers -> Hamburger
1,0.425837,0.108678,0.962482,1.000000,0.000098 # Lacrosse -> Lacrosse
1,0.980132,0.427040,0.959290,1.000000,0.000098 # Yellowstone National Park -> Yellowstone National Park
1,0.188119,0.380014,0.971408,1.000000,0.000098 # hot dogs -> Hot dog
1,0.127444,0.055375,0.968746,1.000000,0.000098 # governor -> Governor
1,0.689498,0.125943,0.959478,1.000000,0.000098 # American Airlines -> American Airlines
1,0.136364,0.009489,0.965125,3.000000,0.000295 # postindustrial -> Postindustrial
1,0.130435,0.261387,0.994841,1.000000,0.000098 # civil lawsuit -> Lawsuit
1,0.981100,0.078590,0.963176,1.000000,0.000098 # International Monetary Fund -> International Monetary Fund
1,0.931716,0.142737,0.958814,1.000000,0.000098 # Elvis Presley -> Elvis Presley
1,0.000000,0.446535,0.976478,1.000000,0.000098 # ethnically diverse -> Multiculturalism
1,0.062500,0.292423,0.000000,1.000000,0.000098 # minority rights -> Minority rights
1,0.414445,0.092831,0.963432,1.000000,0.000098 # nationalism -> Nationalism
1,0.112554,0.311110,0.982516,1.000000,0.000098 # no religion -> Irreligion
1,0.026148,0.194935,0.999987,1.000000,0.000098 # clerical -> Clergy
1,0.891593,0.425271,0.000000,1.000000,0.000098 # Cole Porter -> Cole Porter
1,0.000000,0.280486,0.970812,1.000000,0.000098 # major film studios -> Major film studio
1,1.264484,0.270290,0.961654,1.000000,0.000098 # environmentalism -> Environmentalism
1,0.951613,0.344069,0.000000,1.000000,0.000098 # Massachusetts Supreme Judicial Court -> Massachusetts Supreme Judicial Court
1,0.354671,0.386927,0.000000,1.000000,0.000098 # pasta -> Pasta
1,0.437500,0.262470,0.972692,1.000000,0.000098 # official development assistance -> Official development assistance
1,0.194083,0.129153,0.959493,1.000000,0.000098 # pizza -> Pizza
1,0.739130,0.365502,0.959175,1.000000,0.000098 # United Nations Charter -> United Nations Charter
1,0.784615,0.338523,0.968211,1.000000,0.000098 # Virginia Colony -> Colony of Virginia
1,0.841594,0.233529,0.964938,1.000000,0.000098 # North Korea -> North Korea-United States relations
